CASEID,START,END,FREQUENCY
1539316889981-video_3.1_CVC,Guidewire install,Remove trocar,2
1539316889981-video_3.1_CVC,Remove trocar,Check wire in long axis,1
1539316889981-video_3.1_CVC,Check wire in long axis,Widen pathway,1
1539316889981-video_3.1_CVC,Remove guidewire,Puncture,1
1539316889981-video_3.1_CVC,Puncture,Remove syringe,2
1539316889981-video_3.1_CVC,Remove syringe,Guidewire install,2
1539734942389-video_3.2_CVC,Advance catheter,Remove guidewire,1
1539734942389-video_3.2_CVC,Guidewire install,Guidewire install,1
1539734942389-video_3.2_CVC,Guidewire install,Remove trocar,1
1539734942389-video_3.2_CVC,Remove trocar,Check wire in long axis,1
1539734942389-video_3.2_CVC,Check wire in long axis,Guidewire install,1
1539734942389-video_3.2_CVC,Widen pathway,Advance catheter,1
1539734942389-video_3.2_CVC,Check wire in long axis,Widen pathway,1
1539734942389-video_3.2_CVC,Remove syringe,Check wire in long axis,1
1539734942389-video_3.2_CVC,Puncture,Remove syringe,1
1539737717686-video_3.3_CVC,Remove trocar,Widen pathway,1
1539737717686-video_3.3_CVC,Advance catheter,Remove guidewire,1
1539737717686-video_3.3_CVC,Widen pathway,Advance catheter,1
1539737717686-video_3.3_CVC,Guidewire install,Check wire in long axis,1
1539737717686-video_3.3_CVC,Check wire in long axis,Remove trocar,1
1539737717686-video_3.3_CVC,Guidewire install,Puncture,1
1539737717686-video_3.3_CVC,Puncture,Remove syringe,2
1539737717686-video_3.3_CVC,Remove syringe,Guidewire install,2
1539739275781-video_4.5_CVC,Advance catheter,Widen pathway,1
1539739275781-video_4.5_CVC,Check wire in long axis,Puncture,1
1539739275781-video_4.5_CVC,Remove trocar,Advance catheter,1
1539739275781-video_4.5_CVC,Advance catheter,Remove guidewire,1
1539739275781-video_4.5_CVC,Widen pathway,Advance catheter,1
1539739275781-video_4.5_CVC,Guidewire install,Check wire in long axis,2
1539739275781-video_4.5_CVC,Check wire in long axis,Check wire in long axis,2
1539739275781-video_4.5_CVC,Check wire in long axis,Remove trocar,1
1539739275781-video_4.5_CVC,Puncture,Remove syringe,2
1539739275781-video_4.5_CVC,Puncture,Puncture,2
1539739275781-video_4.5_CVC,Remove syringe,Guidewire install,2
1539740347920-video_4.6_CVC,Advance catheter,Remove guidewire,1
1539740347920-video_4.6_CVC,Guidewire install,Remove trocar,1
1539740347920-video_4.6_CVC,Remove trocar,Check wire in long axis,1
1539740347920-video_4.6_CVC,Widen pathway,Advance catheter,1
1539740347920-video_4.6_CVC,Check wire in long axis,Widen pathway,1
1539740347920-video_4.6_CVC,Puncture,Remove syringe,1
1539740347920-video_4.6_CVC,Remove syringe,Guidewire install,1
1539831132678-video_4.7_CVC,Remove trocar,Widen pathway,1
1539831132678-video_4.7_CVC,Advance catheter,Remove guidewire,1
1539831132678-video_4.7_CVC,Widen pathway,Advance catheter,1
1539831132678-video_4.7_CVC,Guidewire install,Remove trocar,1
1539831132678-video_4.7_CVC,Puncture,Remove syringe,1
1539831132678-video_4.7_CVC,Remove syringe,Guidewire install,1
1539832275246-video_4.8_CVC,Remove trocar,Widen pathway,2
1539832275246-video_4.8_CVC,Advance catheter,Remove guidewire,1
1539832275246-video_4.8_CVC,Widen pathway,Advance catheter,2
1539832275246-video_4.8_CVC,Guidewire install,Remove trocar,1
1539832275246-video_4.8_CVC,Guidewire install,Check wire in long axis,1
1539832275246-video_4.8_CVC,Check wire in long axis,Remove trocar,1
1539832275246-video_4.8_CVC,Advance catheter,Puncture,1
1539832275246-video_4.8_CVC,Puncture,Remove syringe,2
1539832275246-video_4.8_CVC,Remove syringe,Guidewire install,2
