CASEID,ACTIVITY,COUNT
1539316889981-video_3.1_CVC,Puncture,2
1539316889981-video_3.1_CVC,Remove trocar,2
1539316889981-video_3.1_CVC,Advance catheter,2
1539316889981-video_3.1_CVC,Remove syringe,2
1539316889981-video_3.1_CVC,Remove guidewire,1
1539316889981-video_3.1_CVC,Widen pathway,2
1539734942389-video_3.2_CVC,Guidewire install,2
1539734942389-video_3.2_CVC,Puncture,1
1539734942389-video_3.2_CVC,Remove trocar,1
1539734942389-video_3.2_CVC,Advance catheter,1
1539734942389-video_3.2_CVC,Remove syringe,1
1539734942389-video_3.2_CVC,Remove guidewire,1
1539734942389-video_3.2_CVC,Widen pathway,1
1539737717686-video_3.3_CVC,Guidewire install,2
1539737717686-video_3.3_CVC,Puncture,2
1539737717686-video_3.3_CVC,Remove trocar,1
1539737717686-video_3.3_CVC,Advance catheter,1
1539737717686-video_3.3_CVC,Remove syringe,2
1539737717686-video_3.3_CVC,Remove guidewire,1
1539737717686-video_3.3_CVC,Widen pathway,1
1539739275781-video_4.5_CVC,Guidewire install,2
1539739275781-video_4.5_CVC,Puncture,4
1539739275781-video_4.5_CVC,Advance catheter,2
1539739275781-video_4.5_CVC,Remove trocar,1
1539739275781-video_4.5_CVC,Remove syringe,2
1539739275781-video_4.5_CVC,Remove guidewire,1
1539739275781-video_4.5_CVC,Widen pathway,1
1539740347920-video_4.6_CVC,Guidewire install,1
1539740347920-video_4.6_CVC,Puncture,1
1539740347920-video_4.6_CVC,Remove trocar,1
1539740347920-video_4.6_CVC,Advance catheter,1
1539740347920-video_4.6_CVC,Remove syringe,1
1539740347920-video_4.6_CVC,Remove guidewire,1
1539740347920-video_4.6_CVC,Widen pathway,1
1539831132678-video_4.7_CVC,Guidewire install,1
1539831132678-video_4.7_CVC,Puncture,1
1539831132678-video_4.7_CVC,Remove trocar,1
1539831132678-video_4.7_CVC,Advance catheter,1
1539831132678-video_4.7_CVC,Remove syringe,1
1539831132678-video_4.7_CVC,Remove guidewire,1
1539831132678-video_4.7_CVC,Widen pathway,1
1539832275246-video_4.8_CVC,Guidewire install,2
1539832275246-video_4.8_CVC,Puncture,2
1539832275246-video_4.8_CVC,Remove trocar,2
1539832275246-video_4.8_CVC,Advance catheter,2
1539832275246-video_4.8_CVC,Remove syringe,2
1539832275246-video_4.8_CVC,Remove guidewire,1
1539832275246-video_4.8_CVC,Widen pathway,2
